entity_id,name,last_seen_at,hours_since,within_sla,status
159,BLUMENAU PROCURADORIA GERAL DO MUNICIPIO,,,False,never
160,BLUMENAU SECRETARIA MUNICIPAL DE PLANEJAMENTO,,,False,never
161,BLUMENAU PREFEITURA,,,False,never
162,BLUMENAU SECRETARIA DO MEIO AMBIENTE E DEFESA CIVIL,,,False,never
163,FUNDACAO MUNICIPAL DE DESPORTOS,,,False,never
164,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,,,False,never
165,BLUMENAU SECRET MUNICIPAL DA CRIANCA E DO ADOLESCENTE,,,False,never
166,BLUMENAU INTENDENCIA DE VILA ITOUPAVA,,,False,never
167,BLUMENAU SECRETARIA MUNICIPAL DE COMUNICACAO SOCIAL,,,False,never
168,FUNDACAO UNIVERSIDADE REGIONAL DE BLUMENAU - FURB,2026-07-17T17:51:13+00:00,27.102,False,stale
169,FUNDACAO PROMOTORA DE EXPOSICOES DE BLUMENAU,,,False,never
170,BLUMENAU PREFEITURA,,,False,never
171,MUNICIPIO DE BLUMENAU,2026-07-17T16:01:22+00:00,28.933,False,stale
172,BLUMENAU SECRETARIA MUNICIPAL DE FINANCAS,,,False,never
173,BLUMENAU SECRET MUNICIPAL DE OBRAS E SERVICOS URBANOS,,,False,never
174,BLUMENAU SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL,,,False,never
175,BLUMENAU SECRETARIA MUNICIPAL DE EDUCACAO,,,False,never
176,BLUMENAU SECRETARIA MUNICIPAL DE SAUDE,2026-07-03T00:00:00+00:00,380.956,False,stale
177,CAMARA MUNICIPAL DE BLUMENAU,2026-07-13T16:01:23+00:00,124.933,False,stale
178,SERVICO AUTONOMO MUNICIPAL DE TRANSITO E TRANSPORTES DE BLUMENAU,,,False,never
179,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,2026-07-17T14:11:47+00:00,30.76,False,stale
180,BLUMENAU SECRETARIA MUNICIPAL DE CULTURA E TURISMO,,,False,never
181,FUNDACAO CULTURAL DE BLUMENAU,,,False,never
182,BLUMENAU CONSELHO MUNICIPAL DE ENTORPECENTES,,,False,never
183,BLUMENAU SECRETARIA MUNICIPAL DE CAPTACAO DE RECURSOS,,,False,never
184,"BLUMENAU SECRETARIA MUNICIPAL DE TRABALHO, RENDA E DESENVOLVIMENTO ECONOMICO",,,False,never
185,BLUMENAU SECRETARIA MUNICIPAL DE CAPTACAO DE RECURSOS,,,False,never
186,"BLUMENAU SECRETARIA MUNICIPAL DE TRABALHO, RENDA E DESENVOLVIMENTO ECONOMICO",,,False,never
187,CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE E SERVICOS DO VALE EUROPEU  CISAMVE,2026-07-17T18:25:03+00:00,26.538,False,stale
188,INSTITUTO MUNICIPAL DE SEGURIDADE SOCIAL DO SERVIDOR DE BLUM,,,False,never
189,FUNDACAO DO BEM-ESTAR DA FAMILIA BLUMENAUENSE,,,False,never
190,FARMACIA POPULAR DO BRASIL,,,False,never
191,SECRETARIA MUNICIPAL DE EDUCACAO DE BLUMENAU SC,,,False,never
192,COMPANHIA DE URBANIZACAO DE BLUMENAU - URB EM LIQUIDACAO,,,False,never
193,MUNICIPIO DE PENHA,2026-07-15T14:41:20+00:00,78.267,False,stale
194,PENHA CAMARA DE VEREADORES,2026-07-17T11:59:44+00:00,32.96,False,stale
195,ASSOCIACAO DE PAIS E PROFESSORES DA ESCOLA MUNICIPAL ESPECIAL AMOR PERFEITO,,,False,never
196,FUNDACAO MUNICIPAL DE ESPORTES DE PENHA,,,False,never
197,FUNDACAO MUNICIPAL CULTURAL PICUCHO SANTOS,2026-07-17T10:41:36+00:00,34.263,False,stale
198,INSTITUTO MUNICIPAL DO MEIO AMBIENTE DE PENHA - IMA,,,False,never
199,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DA PENHA,,,False,never
200,MUNICIPIO DE GRAVATAL,2026-07-15T13:06:52+00:00,79.841,False,stale
201,CAMARA MUNICIPAL DE GRAVATAL,,,False,never
202,"SEC MUNICIPAL DE EDUCACAO, CULTURA, ESPORTE E LAZER - GRAVATAL - SC",,,False,never
203,FUNDACAO MUNICIPAL DE ESPORTES,,,False,never
204,MUNICIPIO DE PESCARIA BRAVA,2026-07-13T13:03:03+00:00,127.905,False,stale
205,CAMARA MUNICIPAL DE PESCARIA BRAVA,,,False,never
206,MUNICIPIO DE BOM RETIRO,2026-07-17T15:16:33+00:00,29.68,False,stale
207,CAMARA MUNICIPAL DE VEREADORES DE BOM RETIRO,,,False,never
208,FUNDACAO CULTURAL DE BOM RETIRO - FCBR,,,False,never
209,ABRIGO INSTITUCIONAL ANA ANTONINA ANTONIO,,,False,never
210,MUNICIPIO DE LAGUNA,2026-07-16T17:26:03+00:00,51.522,False,stale
211,FUNDACAO MEDICO HOSPITALAR DO MUNICIPIO DE LAGUNA,,,False,never
212,CAMARA MUNICIPAL DA LAGUNA,,,False,never
213,FUNDACAO DA FAMILIA E ASSUNTOS COMUNITARIOS IRMA VERA,,,False,never
214,FUNDACAO LAGUNENSE DE CULTURA,,,False,never
215,FUNDACAO CULTURAL DOMINGOS DE BRITO PEIXOTO,,,False,never
216,SECRETARIA MUNICIPAL DE EDUCACAO DE LAGUNA,,,False,never
217,FUNDACAO LAGUNENSE DO MEIO AMBIENTE,,,False,never
218,GUARDA MUNICIPAL DE LAGUNA,,,False,never
219,FUNDACAO INDAIALENSE DE CULTURA PREFEITO VICTOR PETTERS,,,False,never
220,MUNICIPIO DE INDAIAL,2026-07-17T11:27:33+00:00,33.497,False,stale
221,INDAIAL CAMARA DE VEREADORES,,,False,never
222,FUNDACAO MUNICIPAL DE ESPORTES VEREADOR MARO MARCOS HADLICH,,,False,never
223,INSTITUTO DE APOSENTADORIA E PENSOES DOS SERVIDORES PUBLICOS MUNICIPAIS DE INDAIAL - INDAPREV,,,False,never
224,SECRETARIA MUNICIPAL DE EDUCACAO DE INDAIAL SC,,,False,never
225,MUNICIPIO DE CAPIVARI DE BAIXO,2026-07-17T11:54:12+00:00,33.053,False,stale
226,CAPIVARI DE BAIXO CAMARA MUNICIPAL,2026-07-17T13:01:29+00:00,31.931,False,stale
227,FUNDACAO DO RESGATE HISTORICO SOCIAL E CULTURAL DE CAPIVARI DE BAIXO,,,False,never
228,SECRETARIA MUNICIPAL DE EDUCACAO DE LUIZ ALVES,,,False,never
229,MUNICIPIO DE LUIZ ALVES,2026-07-17T16:05:47+00:00,28.86,False,stale
230,LUIS ALVES CAMARA DE VEREADORES,,,False,never
231,ITUPORANGA CAMARA DE VEREADORES,2026-07-17T13:30:26+00:00,31.449,False,stale
232,FUNDACAO MUNICIPAL DE ESPORTES DO MUN DE ITUPORANGA,,,False,never
233,MUNICIPIO DE ITUPORANGA,2026-07-16T14:08:43+00:00,54.811,False,stale
234,"FEXPONACE FUNDACAO PROMOTORA DE EXPOSICOES, FEIRAS E EVENTOS TURISTICOS, CULTURAIS E ESPORTIVOS DE ITUPORANGA",,,False,never
235,CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DOS MUNICIPIOS DA AMAVI - CIM-AMAVI,,,False,never
236,SECRETARIA MUNICIPAL DE EDUCACAO DE ITUPORANGA /SC,,,False,never
237,MUNICIPIO DE BARRA VELHA,2026-07-17T14:33:41+00:00,30.395,False,stale
238,CAMARA DE VEREADORES DE BARRA VELHA,2026-07-17T19:00:34+00:00,25.946,False,stale
239,IPREVE INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BARRA VELHA.,,,False,never
240,FUNDACAO MUNICIPAL DE ESPORTES,,,False,never
241,FUNDACAO HOSPITALAR MUNICIPAL DE BARRA VELHA,,,False,never
242,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE BARRA VELHA,,,False,never
243,"FUNDACAO MUNICIPAL TURISMO, ESPORTES E CULTURA - FUMTEC",,,False,never
244,FUNDACAO MUNICIPAL DA CULTURA DE BARRA VELHA,,,False,never
245,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE BARRA VELHA - SEMEC",,,False,never
246,CONSELHO MUNICIPAL DE DESNVOLVIMENTO RURAL,,,False,never
247,LONTRAS CAMARA DE VEREADORES,,,False,never
248,MUNICIPIO DE LONTRAS,,,False,never
249,FUNDACAO ARCO IRIS,,,False,never
250,COORDENADORIA MUNICIPAL DE PROTECAO E DEFESA CIVIL - LONTRAS - SC,,,False,never
251,"SECRETARIA DE EDUCACAO, CULTURA E DESPORTO DE LONTRAS",,,False,never
252,MUNICIPIO DE ASCURRA,,,False,never
253,ASCURRA CAMARA DE VEREADORES,,,False,never
254,AGENCIA INTERMUNICIPAL DE REGULACAO DE SERVICOS PUBLICOS,,,False,never
255,"SECRETARIA MUNICIPAL DE EDUCACAO, DESPORTO, CULTURA E PROMOCAO SOCIAL DE ASCURRA",,,False,never
256,MUNICIPIO DE RODEIO,2026-07-14T10:26:56+00:00,106.507,False,stale
257,RODEIO CAMARA DE VEREADORES,,,False,never
258,COMISSAO MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE RODEIO,,,False,never
259,SECRETARIA DE EDUCACAO E CULTURA DE RODEIO SC,,,False,never
260,FUNDACAO MUNICIPAL DE DESPORTOS DE AURORA,,,False,never
261,MUNICIPIO DE AURORA,2026-07-17T13:27:09+00:00,31.503,False,stale
262,CAMARA DE VEREADORES DE AURORA,2026-07-13T16:44:36+00:00,124.213,False,stale
263,FUNDACAO CULTURAL DE AURORA,,,False,never
264,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC DO MUNICIPIO DE AURORA,,,False,never
265,SECRETARIA MUNICIPAL DE EDUCACAO DE AURORA SC,,,False,never
266,SECRETARIA MUNICIPAL DE EDUCACAO,,,False,never
267,BIBLIOTECA PUBLICA MUNICIPAL JAYME MASON,,,False,never
268,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,,,False,never
269,MUNICIPIO DE ORLEANS,2026-07-17T15:59:44+00:00,28.96,False,stale
270,CAMARA MUNICIPAL DE VEREADORES DE ORLEANS,,,False,never
271,CONSORCIO INTERMUNICIPAL DE SANEAMENTO AMBIENTAL,,,False,never
272,FAMOR - FUNDACAO AMBIENTAL MUNICIPAL DE ORLEANS,,,False,never
273,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE PEDRAS GRANDES - FUMPEG,,,False,never
274,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,,,False,never
275,MUNICIPIO DE PEDRAS GRANDES,2026-07-15T13:20:04+00:00,79.621,False,stale
276,CAMARA MUNICIPAL DE VEREADORES DE PEDRAS GRANDES,,,False,never
277,"SECRETARIA MUNICIPAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PEDRAS GRANDES SC",,,False,never
278,SECRETARIA MUNICIPAL DA EDUCACAO - FUNDEB,,,False,never
279,MUNICIPIO DE URUBICI,2026-07-17T17:34:37+00:00,27.379,False,stale
280,CAMARA MUNICIPAL DE URUBICI,,,False,never
281,MUNICIPIO DE IBIRAMA,2026-07-16T15:25:32+00:00,53.53,False,stale
282,IBIRAMA CAMARA DE VEREADORES,2026-07-13T15:59:30+00:00,124.964,False,stale
283,CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E ADOLESCENTE,,,False,never
284,FUNDACAO EDUCACIONAL HANSA HAMMONIA,,,False,never
285,COORDENADORIA MUNICIPAL DE PROTECAO E DEFESA CIVIL,,,False,never
286,"SECRETARIA DE EDUCACAO, CULTURA E ESPORTES DE IBIRAMA - SC",,,False,never
287,MUNICIPIO DE POMERODE,2026-07-17T18:48:22+00:00,26.15,False,stale
288,POMERODE CAMARA DE VEREADORES,,,False,never
289,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,2026-07-16T11:00:52+00:00,57.941,False,stale
290,"FUNDACAO PROMOTORA DE EVENTOS,ESPORTES E LAZER DE POMERODE - FUNPEEL",,,False,never
291,SECRETARIA DE EDUCACAO E FORMACAO EMPREENDEDORA DE POMERODE,,,False,never
292,FUNDACAO MUNICIPAL DE DESPORTOS,,,False,never
293,FUNDACAO CULTURAL DE RIO DO SUL,2026-07-17T15:14:11+00:00,29.72,False,stale
294,MUNICIPIO DE RIO DO SUL,2026-07-17T15:43:03+00:00,29.238,False,stale
295,RIO DO SUL SECRETARIA DE ADMINISTRACAO,,,False,never
296,RIO DO SUL SECRETARIA DE FINANCAS,,,False,never
297,RIO DO SUL-SECRET DE EDUCACAO CULTURA SAUDE E PROM SOC,,,False,never
298,RIO DO SUL SECRETARIA DE OBRAS VIACAO E SERV URBANOS,,,False,never
299,RIO DO SUL CAMARA DE VEREADORES,,,False,never
300,SERVICO AUT MUN DE AGUA E ESGOTO,,,False,never
301,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DE RIO DO SUL,2026-07-13T09:22:44+00:00,131.577,False,stale
302,CONSELHO MUNICIPAL DE ASSISTENCIA SOCIAL DE RIO DO SUL,,,False,never
303,CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE E MULTIFINALITARIO DO ALTO VALE DO ITAJAI (CISAMAVI),2026-07-16T18:23:09+00:00,50.57,False,stale
304,SECRETARIA MUNICIPAL DE EDUCACAO,,,False,never
305,GUARDA MUNICIPAL DE RIO DO SUL,,,False,never
306,MUNICIPIO DE MASSARANDUBA,2026-07-14T08:04:55+00:00,108.874,False,stale
307,MASSARANDUBA CAMARA DE VEREADORES,,,False,never
308,HOSPITAL MUNICIPAL JOAO SCHREIBER,,,False,never
309,SECRETARIA DE EDUCACAO,,,False,never
