ranking,commercial_stage,cnpj,razao_social,uf,contrato_id,objeto,valor_original,regime_legal,regime_proven,regime_evidence_level,proxy_date,minimum_elapsed_confirmed,claim_readiness,priority_score
11,DOCUMENT_REQUEST_READY,22798043000105,KAENG INFRAESTRUTURA EIRELI,SC,12075748000132-2-000110/2024,"O objeto da Licitação compreende a contratação de empresa especializada para execução por demanda de serviços comuns de engenharia para manutenção, conservação, reparação, melhorias e intervenções cor",9799990.96,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-07-22,True,claim_blocked,71.61
12,DOCUMENT_REQUEST_READY,27118194000180,AF CONSTRUCOES E PAVIMENTACAO LTDA,SC,82928672000126-2-000714/2025,"Contratação de empresa especializada, para execução de obra de pavimentação Asfáltica, Drenagem Pluvial e Sinalização Viária da Rodovia Municipal Domingos Gislon, com utilização de recursos do Estado ",4490000.0,UNKNOWN,False,R-D,2025-07-16,True,claim_blocked,71.58
13,DOCUMENT_REQUEST_READY,05133291000100,STRABE COMERCIO E CONSTRUCOES LTDA,SC,83102756000179-2-000226/2024,"EXECUÇÃO DE OBRAS, PELO SISTEMA DE EMPREITADA GLOBAL, DE PAVIMENTAÇÃO ASFÁLTICA NA RUA JOSÉ JACOB DO PRADO, NO BAIRRO INDUSTRIAL SUL, COMPREENDENDO MOBILIZAÇÃO E DESMOBILIZAÇÃO, SERVIÇOS PRELIMINARES,",1230593.34,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-03-08,True,claim_blocked,71.55
14,DOCUMENT_REQUEST_READY,00820854000114,QUALIDADE MINERACAO LTDA,SC,82836057000190-2-000706/2025,CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE DRENAGEM E PAVIMENTAÇÃO ASFÁLTICA DE RUAS NO MUNICÍPIO DE GAROPABA,4155502.1,UNKNOWN,False,R-D,2025-05-14,True,claim_blocked,71.52
15,DOCUMENT_REQUEST_READY,80996861000100,PROSUL PROJETOS SUPERVISAO E PLANEJAMENTO LTDA,SC,04892707000100-2-000099/2025,"TERMO DE CONTRATO DE PRESTAÇÃO DE SERVIÇO DE ENGENHARIA QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES - DNIT E A EMPRESA PROSUL - PROJETOS, SUPERVISÃO E PLANEJAMENTO LTDA",23328271.24,UNKNOWN,False,R-D,2025-02-26,True,claim_blocked,71.42
16,DOCUMENT_REQUEST_READY,06280244000151,CONSTRUTORA VALE DO OURO LTDA,SC,07854402000100-2-000034/2025,"CONTRATAÇÃO DE EMPRESA DE ENGENHARIA PARA EXECUÇÃO DE OBRAS CIVIS, HIDRÁULICAS, ELÉTRICAS, AUTOMAÇÃO E URBANÍSTICA DAS UNIDADES DE GRADEAMENTO, PENEIRAMENTO, DESARENADOR, REMOÇÃO DE GORDURA E MEDIDOR ",33376326.49,UNKNOWN,False,R-D,2025-04-24,True,claim_blocked,71.4
17,DOCUMENT_REQUEST_READY,28573353000108,JBM ENGENHARIA LTDA,SC,57356434000146-2-000029/2025,"Contratação de empresa de engenharia para a execução da construção de Ponte de Concreto na Rodovia MT-109  sobre o Córrego Água Fria (PT00599), Trecho: Início da Pavimentação – Fim da Pavimentação, co",7625402.8,UNKNOWN,False,R-D,2025-06-16,True,claim_blocked,71.33
18,DOCUMENT_REQUEST_READY,83665141000150,SETEP CONSTRUCOES S.A,SC,04892707000100-2-000394/2024,"TERMO DE CONTRATO, SOB O REGIME DE EMPREITADA POR PREÇO UNITÁRIO, QUE FAZEM ENTRE SI O DEPARTAMENTO NACIONAL DE INFRAESTRUTURA DE TRANSPORTES E A EMPRESA SETEP CONSTRUÇÕES S.A, PARA EXECUÇÃO DAS OBRAS",22151316.47,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-09-06,True,claim_blocked,71.32
19,DOCUMENT_REQUEST_READY,12713820000100,FRAGA CONSTRUCOES E ENGENHARIA LTDA,SC,00394452000103-2-007720/2024,"CONTRATAÇÃO DE SERVIÇOS PERICIAIS DE ENGENHARIA DE CONSTRUÇÃO DO SANGRADOURO (VERTEDOURO), TOMADA D’ÁGUA, DEMOLIÇÃO E CONSTRUÇÃO DE PONTE, FORNECIMENTO E INSTALAÇÃO DE SISTEMA ELÉTRICO, INSTRUMENTAÇÃO",31975000.02,UNKNOWN,False,R-D,2025-01-16,True,claim_blocked,71.3
20,DOCUMENT_REQUEST_READY,05895635000118,JR CONSTRUCOES E TERRAPLENAGEM LTDA EPP,SC,82928672000126-2-000479/2024,"Contratação de empresa especializada, para execução de obra de pavimentação Asfáltica, Drenagem Pluvial e Sinalização Viária da Rodovia Municipal Dr. Ivo Silveira, com utilização de recursos do Estado",2585000.0,TRANSITIONAL_REGIME_UNRESOLVED,False,R-C,2024-04-19,True,claim_blocked,71.19
