pncp_id,objeto_compra,orgao_cnpj,uf,valor_total_estimado,is_active
01612836000100-1-000095/2026,"CHAMADA PÚBLICA PARA AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DA AGRICULTURA FAMILIAR E DO EMPREENDEDOR FAMILIAR RURAL, QUE SERÃO UTILIZADOS NA CONFECÇÃO DA MERENDA ESCOLAR DOS EDUCANDÁRIOS MUNICIPAIS DE PRINCESA, DESTINADOS AO ATENDIMENTO DO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR/PNAE.",01612836000100,SC,58959.45,True
01612836000100-1-000097/2026,"CONTRATAÇÃO DO CONSÓRCIO INTERMUNICIPAL DE DESENVOLVIMENTO REGIONAL - CONDER, NO ÂMBITO DO PROGRAMA MAIS ASFALTO, PARA FORNECIMENTO DE CONCRETO BETUMINOSO USINADO A QUENTE - CBUQ E EMULSÃO ASFÁLTICA PARA PINTURA DE LIGAÇÃO, DESTINADOS À EXECUÇÃO DE SERVIÇOS DE MANUTENÇÃO, RECOMPOSIÇÃO ASFÁLTICA E MELHORIAS VIÁRIAS NO MUNICÍPIO DE PRINCESA/SC, CONFORME CONDIÇÕES AUTORIZADAS NO CONTRATO DE CONSÓRCIO PÚBLICO, NA LEGISLAÇÃO MUNICIPAL DE ADESÃO E NOS DOCUMENTOS QUE INSTRUEM O PROCESSO.",01612836000100,SC,28300.00,True
01612844000156-1-000046/2026,"EXECUÇÃO POR EMPREITADA GLOBAL DO REPERFILAMENTO, PAVIMENTAÇÃO ASFÁLTICA E SINALIZAÇÃO VIÁRIA DO TRECHO DA RUA ÁLVARO COSTA SOB A ESTRUTURA DA RUA COBERTA, COM 988,22 M². CONFORME PROJETO, MEMORIAIS DESCRITIVOS E PLANILHA ORÇAMENTÁRIA EM ANEXO",01612844000156,SC,122876.97,True
01612844000156-1-000047/2026,"CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE BANCO EM MADEIRA PLASTICA DE 150 X 78X 37 CM. PARA FUTURA PRAÇA LOCALIZADA SOBRE NA LINHA NOVA VIDEIRA, COM RECURSOS VINCULADO AO PROCESSO SCC 03314/2025, PORTARIA Nº 16/2025 NA MODALIDADE CONVÊNIOS SIMPLIFICADOS, CONFORME DISPOSIÇÃO DO ART. 17-A DA CONSTITUIÇÃO ESTADUAL E REGULAMENTADOS PELA LEI Nº 19.093/2024 E PELO DECRETO Nº 766/2024, E RECURSOS PRÓPRIOS.",01612844000156,SC,9340.00,True
01612844000156-1-000048/2026,CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAL E SERVIÇO DE JARDINAGEM E PAISAGISMO EM FRENTE AO PRÉDIO DO PODER EXECUTIVO E AVENIDA DO MUNICIPIO DE SALTINHO-SC.,01612844000156,SC,11245.00,True
01612844000156-1-000049/2026,"CONTRATAÇÃO, POR INEXIGIBILIDADE DE LICITAÇÃO, DAS APRESENTAÇÕES ARTÍSTICAS DA BANDA MERCOSUL E DA BANDA COSMO EXPRESS, PARA REALIZAÇÃO DE SHOWS MUSICAIS DURANTE AS FESTIVIDADES ALUSIVAS AO 31º ANIVERSÁRIO DE EMANCIPAÇÃO POLÍTICO-ADMINISTRATIVA DO MUNICÍPIO DE SALTINHO/SC, A SEREM REALIZADAS NO DIA 19 DE JULHO DE 2026, NA ÁREA COBERTA MUNICIPAL",01612844000156,SC,65000.00,True
pcp_490946,"CONTRATAÇÃO DE EMPRESA PARA O FORNECIMENTO DE 02 (DOIS) LINKS DE ACESSO À INTERNET POR MEIO DE FIBRA ÓPTICA, COM NÍVEIS DE SERVIÇO E DESEMPENHO DEFINIDOS EM TERMO DE REFERÊNCIA, SENDO UM DE 500 MBPS E OUTRO DE 150 MBPS, PELO PERÍODO DE 12 (DOZE) MESES.",,SC,,True
00489828000155-1-000368/2026,"Contratação de serviços eventuais de roçagem, remoção de entulho e cercamento em terrenos vagos sob a responsabilidade da Superintendência do Patrimônio da União em Santa Catarina (SPU/SC).

",00489828000155,SC,187461.00,True
00508903000188-1-001310/2026,"Contratação de Serviços de Comunicação de Dados, através de link de acesso à Internet via satélite, com uso da rede de satélites em órbita baixa (LEO), para a Justiça Federal - Seção Judiciária de Santa Catarina, nas especificações, quantidades e demais condições estabelecidas no Aviso de Contratação Direta e seus anexos.",00508903000188,SC,0.00,True
01612847000190-1-000082/2026,"AQUISIÇÃO DE TECIDOS PARA ORNAMENTAÇÃO DO TETO DO SALÃO COMUNITÁRIO MUNICIPAL, DESTINADOS À DECORAÇÃO DE EVENTOS E FESTIVIDADES PROMOVIDOS PELO MUNICÍPIO DE SANTA TEREZINHA DO PROGRESSO/SC, CONFORME ESPECIFICAÇÕES CONSTANTES NO TERMO DE REFERÊNCIA",01612847000190,SC,4600.00,True
00509018000113-1-001509/2026,"Locação de imóvel destinado a abrigar o Cartório da 46ª Zona Eleitoral - Taió/SC, onde serão prestados os serviços e desenvolvidas as correlatas atividades de competência da Justiça Eleitoral.",00509018000113,SC,5794.48,True
00509018000113-1-001510/2026,"Aquisição de guilhotina elétrica com margeador digital, destinada ao acabamento, corte e refile de materiais informativos e de apoio, tais como revistas, cartilhas e apostilas, visando conferir celeridade ao processamento das demandas internas e específicas do Tribunal.
",00509018000113,SC,15000.00,True
pcp_492439,"Registro de Preços para eventual aquisição de medalhas de gratificação e graduação, destinadas ao reconhecimento institucional de policiais militares da 2ª Companhia do 13º Batalhão da Polícia Militar de Santa Catarina (2ª CIA/13º BPM), no âmbito do...",,SC,,True
pcp_492443,Contratação de empresa para fornecimento e instalação de placas de identificação de logradouros públicos em diversas ruas do município de Palhoça.,,SC,,True
01612888000186-1-000048/2026,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ORGANIZAÇÃO, PRODUÇÃO E EXECUÇÃO DE APRESENTAÇÕES ARTÍSTICAS NATALINAS PARA COMPOR A PROGRAMAÇÃO OFICIAL DO ""NATAL 2026"" DO MUNICÍPIO DE BELA VISTA DO TOLDO/SC.",01612888000186,SC,59200.00,True
00509018000113-1-001513/2026,REGISTRO DE PREÇOS para eventual aquisição de aparelhos de ar-condicionado.,00509018000113,SC,1029805.78,True
00509968000148-1-000017/2027,Contratação de empresa para fornecimento de serviços de fotografia sob demanda ,00509968000148,SC,24380.00,True
