id,razao_social,cnpj_8,municipio,codigo_ibge,distancia_fk,raio_200km,has_opportunity_data
999,MINISTERIO DO TRABALHO E EMPREGO - MTE,23612685,SANTA CATARINA,,0.10435089202821368,True,False
647,LAGES SEGUNDA ESCRIVANIA,83679407,SANTA CATARINA,,0.10435089202821368,True,False
815,FUNDO PRO-EMPREGO,13954764,SANTA CATARINA,,0.10435089202821368,True,False
620,SECRETARIA DE ESTADO DA ADMINISTRACAO,82951351,SANTA CATARINA,,0.10435089202821368,True,False
936,SERVICO SOCIAL DO COMERCIO - SESC AR/SC,03603595,SANTA CATARINA,,0.10435089202821368,True,False
749,SECRETARIA DE ESTADO DO DESENVOLVIMENTO REGIONAL DA GRANDE FLORIANOPOLIS,05624629,SANTA CATARINA,,0.10435089202821368,True,False
1069,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DE SANTA CATARINA,82511643,SANTA CATARINA,,0.10435089202821368,True,False
679,FUNDO ESTADUAL DE HABITACAO POPULAR,00915782,SANTA CATARINA,,0.10435089202821368,True,False
1046,AUTORIDADE PORTUARIA DE SANTOS S.A.,44837524,SANTA CATARINA,,0.10435089202821368,True,False
895,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,00348003,SANTA CATARINA,,0.10435089202821368,True,False
847,FUNDO DE APARELHAMENTO DA DEFENSORIA PUBLICA DO ESTADO DE SANTA CATARINA FADEP-SC,36270063,SANTA CATARINA,,0.10435089202821368,True,False
994,COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG,17155730,SANTA CATARINA,,0.10435089202821368,True,False
954,CONSORCIO INTERMUNICIPAL DAS NASCENTES,04941492,SANTA CATARINA,,0.10435089202821368,True,False
586,BAL CAMBORIU CARTORIO CIVEL DA 2 VARA,76696467,SANTA CATARINA,,0.10435089202821368,True,False
861,CENTRO DE INFORMATICA E AUTOMACAO DO ESTADO DE SC S/A,83043745,SANTA CATARINA,,0.10435089202821368,True,False
1058,COMPANHIA DE MELHORAMENTOS DE XAXIM COMEX,75553446,SANTA CATARINA,,0.10435089202821368,True,False
1052,SEST SERVICO SOCIAL DO TRANSPORTE,73471989,SANTA CATARINA,,0.10435089202821368,True,False
726,CARTORIO JUDICIAL DA COMARCA DE CAPIVARI DE BAIXO,04721275,SANTA CATARINA,,0.10435089202821368,True,False
565,FUNDO ROTATIVO REGIONAL DO MEDIO VALE DO ITAJAI (FR-07),49778453,SANTA CATARINA,,0.10435089202821368,True,False
819,FUNDO DE DESENVOLVIMENTO SOCIAL,14119751,SANTA CATARINA,,0.10435089202821368,True,False
700,JUIZO DE DIREITO DA 1 VARA CA COMARCA DE MAFRA/SC,01961744,SANTA CATARINA,,0.10435089202821368,True,False
922,CONSELHO MUNICIPAL DE TRABALHO E EMPREGO,01235403,SANTA CATARINA,,0.10435089202821368,True,False
723,"VARA DA FAMILIA, ORFAOS E SUCESSOES, INFANCIA E JUVENTUDE",04672953,SANTA CATARINA,,0.10435089202821368,True,False
568,SECRETARIA DE ESTADO DO PLANEJAMENTO,49995860,SANTA CATARINA,,0.10435089202821368,True,False
671,SANTA CATARINA SECRET DE EST DO DES URB E MEIO AMBIENTE,00407313,SANTA CATARINA,,0.10435089202821368,True,False
649,ESTADO DE SANTA CATARINA SECRETARIA DA IND E DO COMERCI,83720144,SANTA CATARINA,,0.10435089202821368,True,False
812,SECRETARIA DE ESTADO DE JUSTICA E REINTEGRACAO SOCIAL (SEJURI),13586538,SANTA CATARINA,,0.10435089202821368,True,False
820,FUNDO DE MELHORIA DO CORPO DE BOMBEIROS MILITAR,14186135,SANTA CATARINA,,0.10435089202821368,True,False
1060,CONSELHO REGIONAL DE ADMINISTRACAO DE SANTA CATARINA - CRA/SC,76557032,SANTA CATARINA,,0.10435089202821368,True,False
1036,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS,34028316,SANTA CATARINA,,0.10435089202821368,True,False
886,SC PARCERIAS - AMBIENTAL S.A.,11332700,SANTA CATARINA,,0.10435089202821368,True,False
678,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE FLORIANOPOLIS,00909972,FLORIANOPOLIS,4205407,0.10435089202821368,True,False
832,FUNDO CATARINENSE PARA O DESENVOLVIMENTO DA SAUDE,22925148,SANTA CATARINA,,0.10435089202821368,True,False
1022,SUPERINTENDENCIA NACIONAL DO ABASTECIMENTO,33618323,SANTA CATARINA,,0.10435089202821368,True,False
878,COMPANHIA DE GAS DE SANTA CATARINA,86864543,SANTA CATARINA,,0.10435089202821368,True,False
846,POLICIA CIENTIFICA DO ESTADO DE SANTA CATARINA,36127642,SANTA CATARINA,,0.10435089202821368,True,False
840,FUNDO ESTADUAL DO IDOSO,29571512,SANTA CATARINA,,0.10435089202821368,True,False
918,EMPRESA BRASILEIRA DE NOTICIAS,00608364,SANTA CATARINA,,0.10435089202821368,True,False
610,SECRETARIA DE ESTADO DA SAUDE,82951245,SANTA CATARINA,,0.10435089202821368,True,False
1053,ESCOLA AGROTECNICA FEDERAL DE CONCORDIA SC,73933533,SANTA CATARINA,,0.10435089202821368,True,False
790,AGENCIA DE DESENVOLVIMENTO REGIONAL DE TAIO,08837279,SANTA CATARINA,,0.10435089202821368,True,False
733,RIO DO SUL ESCRIVANIA JUDICIAL DA VARA CRIMINAL E DA INFANCIA E JUVENTUDE,04924975,SANTA CATARINA,,0.10435089202821368,True,False
670,SANTA CATARINA DEP DE EDIFICACOES E OBRAS HIDRAULICAS,95790192,SANTA CATARINA,,0.10435089202821368,True,False
634,"CARTORIO JUDICIAL DA COMARCA DE PINHALZINHO (VARA UNICA - CIVEL, CRIME, FAZENDA PUBLICA, FAMILIA E ANEXOS)",83524306,SANTA CATARINA,,0.10435089202821368,True,False
1051,SENAT SERVICO NACIONAL DE APRENDIZAGEM DO TRANSPORTE,73471963,SANTA CATARINA,,0.10435089202821368,True,False
837,SC SEGURO,24367228,SANTA CATARINA,,0.10435089202821368,True,False
985,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",11402887,SANTA CATARINA,,0.10435089202821368,True,False
2084,SUPERINTENDENCIA REG.POL.RODOV.FED. EM SANTA CATARINA,00394494012061,FLORIANOPOLIS,4205407,0.10435089202821368,True,False
762,AGENCIA DE DESENVOLVIMENTO REGIONAL DE RIO DO SUL,05664100,SANTA CATARINA,,0.10435089202821368,True,False
791,AGENCIA DE DESENVOLVIMENTO REGIONAL - BRACO DO NORTE,08857225,SANTA CATARINA,,0.10435089202821368,True,False
841,CONTROLADORIA-GERAL DO ESTADO,33982868,SANTA CATARINA,,0.10435089202821368,True,False
988,COMPANHIA DAS DOCAS DO ESTADO DA BAHIA - CODEBA,14372148,SANTA CATARINA,,0.10435089202821368,True,False
580,FLORIANOPOLIS FORUM DA UNIVERSIDADE,72480635,SANTA CATARINA,,0.10435089202821368,True,False
867,COMPANHIA DE DESENVOLVIMENTO ECONOMICO E PLANEJAMENTO URBANO DE CRICIUMA-CODEPLA,83596445,SANTA CATARINA,,0.10435089202821368,True,False
725,CARTORIO DO CRIME CIVIL E ANEXOS DE ANITA GARIBALDI,04710352,SANTA CATARINA,,0.10435089202821368,True,False
747,AGENCIA DE DESENVOLVIMENTO REGIONAL - SAO LOURENCO DO OESTE,05593175,SANTA CATARINA,,0.10435089202821368,True,False
874,BESC FINANCEIRA SA CREDITO FINANC E INVESTIMENTOS,83880427,SANTA CATARINA,,0.10435089202821368,True,False
967,CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO,07475388,SANTA CATARINA,,0.10435089202821368,True,False
754,AGENCIA DE DESENVOLVIMENTO REGIONAL - CURITIBANOS,05640154,SANTA CATARINA,,0.10435089202821368,True,False
998,CONSORCIO INTERMUNICIPAL DE ATENCAO PSICOSSOCIAL - CIAPS,21568943,SANTA CATARINA,,0.10435089202821368,True,False
676,RIO DO SUL ESCRIVANIA DA PRIMEIRA VARA,00726938,SANTA CATARINA,,0.10435089202821368,True,False
765,14 AGENCIA DE DESENVOLVIMENTO REGIONAL DE IBIRAMA,05668667,SANTA CATARINA,,0.10435089202821368,True,False
835,FUNDO ESPECIAL DE MODERNIZACAO E REAPARELHAMENTO DO MINISTERIO PUBLICO,23784921,SANTA CATARINA,,0.10435089202821368,True,False
930,COMPANHIA DE DESENVOLVIMENTO DE ITAPOA S. A.,02939316,SANTA CATARINA,,0.10435089202821368,True,False
