id;razao_social;cnpj_8;municipio;codigo_ibge;natureza_juridica;causa_raiz;investigado_em;observacoes
109;SECRETARIA MUNICIPAL DE EDUCACAO E DESPORTO DO MUNICIPIO DE SANTA ROSA DE LIMA;60051532;SANTA ROSA DE LIMA;4215604;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTA ROSA DE LIMA sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 60051532"
1100;CAMARA MUNICIPAL DE VEREADORES DE SANTA ROSA DO SUL;80989981;SANTA ROSA DO SUL;4215653;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 80989981"
1102;CONSORCIO INTERMUNICIPAL DE SAUDE E ASSISTENCIA SOCIAL;32061936;SANTA ROSA DO SUL;4215653;Consórcio Público de Direito Público (Associação Pública);sem_dados_publicos;2026-07-11;"Entidade 'Consórcio Público de Direito Público (Associação Pública)' em SANTA ROSA DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 32061936"
1098;SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E TURISMO DE SANTA ROSA DO SUL-SC;63672101;SANTA ROSA DO SUL;4215653;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTA ROSA DO SUL sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 63672101"
1101;SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO SAMAE;00569168;SANTA ROSA DO SUL;4215653;Autarquia Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Autarquia Municipal' em SANTA ROSA DO SUL sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 00569168"
1437;CAMARA MUNICIPAL DE VEREADORES DE SANTA TEREZINHA DO PROGRESSO;07138946;SANTA TEREZINHA DO PROGRESSO;4215687;Órgão Público do Poder Legislativo Municipal;dom_sc_sem_api_key;2026-07-11;"Provaveis dados existentes no DOM-SC, mas requer API key contratada com o CIGA.; CNPJ-8: 07138946"
1436;SECRETARIA MUNICIPAL DE EDUCACAO DE SANTA TEREZINHA DO PROGRESSO;06072689;SANTA TEREZINHA DO PROGRESSO;4215687;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTA TEREZINHA DO PROGRESSO sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 06072689"
1359;COORDENADORIA MUNICIPAL DE DEFESA CIVIL  COOMDEC DO MUNICIPIO DE SANTIAGO DO SUL;39619706;SANTIAGO DO SUL;4215695;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTIAGO DO SUL sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 39619706"
1356;SECRETARIA MUNICIPAL DE EDUCACAO;61366569;SANTIAGO DO SUL;4215695;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTIAGO DO SUL sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 61366569"
8;DIRETORIA DE DEFESA CIVIL DE SANTO AMARO DA IMPERATRIZ;15715814;SANTO AMARO DA IMPERATRIZ;4215703;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTO AMARO DA IMPERATRIZ sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 15715814"
