consultado,data_quality_limitation,data_quality_score,fontes,frequencia_temporal,modalidades,orgao,orgao_cnpj,periodo_fim,periodo_inicio,qtd_contratacoes,rank,resultado_zero,ticket_medio,ticket_medio_formula,uf,valor_semantica,valor_total
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2978 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE BALNEÁRIO CAMBORIÚ,10459525000143,2026-07-23,2023-07-20,2978,127,False,8959.43,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,26681177.93
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2965 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE SÃO BENTO DO SUL,08281643000162,2026-07-23,2023-07-20,2965,128,False,4999.59,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,14823794.01
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2957 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE LAURO MULLER,82558909000124,2026-07-23,2023-07-20,2957,129,False,12344.55,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,36502838.3
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2955 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAUDE DO MUNICÍPIO DE ITAPOA,11485410000196,2026-07-23,2023-07-20,2955,130,False,4172.95,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,12331053.81
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2954 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PINHALZINHO,83021857000115,2026-07-23,2023-07-20,2954,131,False,5163.09,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,15251771.34
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2950 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE CAMPOS NOVOS,08595042000124,2026-07-23,2023-07-20,2950,132,False,21379.59,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,63069785.8
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2947 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE ENTRE RIOS,01612698000169,2026-07-23,2023-07-20,2947,133,False,3252.5,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,9585123.17
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2935 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE JOSÉ BOITEUX,79372553000125,2026-07-23,2023-07-20,2935,134,False,3688.7,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,10826332.32
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2929 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE AGRONÔMICA,83102590000190,2026-07-23,2023-07-20,2929,135,False,2080.98,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,6095200.48
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2916 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE IPIRA,82814260000165,2026-07-23,2023-07-20,2916,136,False,4138.36,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,12067471.09
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2887 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE XANXERÊ,83009860000113,2026-07-23,2023-07-20,2887,137,False,49997.93,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,144344024.54
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2887 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE NOVA ITABERABA,95990131000170,2026-07-23,2023-07-20,2887,138,False,2280.64,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,6584221.03
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2884 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PASSO DE TORRES,95782793000154,2026-07-23,2023-07-20,2884,139,False,2511.77,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,7243956.33
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2883 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE SANTO AMARO DA IMPERATRIZ,82892324000146,2026-07-23,2023-07-20,2883,140,False,20182.36,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,58185754.62
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2883 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DO MUNICÍPIO DE BOM JESUS,11391482000174,2026-07-23,2023-07-20,2883,141,False,1152.34,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,3322188.2
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2882 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE PETROLÂNDIA,83102673000180,2026-07-23,2023-07-20,2882,142,False,4476.5,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,12901270.45
