entity_id,razao_social,cnpj_8,municipio,raio_200km,gap_reason
180,BLUMENAU SECRETARIA MUNICIPAL DE CULTURA E TURISMO,83799320,BLUMENAU,True,no_matched_active_bid
175,BLUMENAU SECRETARIA MUNICIPAL DE EDUCACAO,83108399,BLUMENAU,True,no_matched_active_bid
172,BLUMENAU SECRETARIA MUNICIPAL DE FINANCAS,83108365,BLUMENAU,True,no_matched_active_bid
160,BLUMENAU SECRETARIA MUNICIPAL DE PLANEJAMENTO,79372470,BLUMENAU,True,no_matched_active_bid
184,"BLUMENAU SECRETARIA MUNICIPAL DE TRABALHO, RENDA E DESENVOLVIMENTO ECONOMICO",02651367,BLUMENAU,True,no_matched_active_bid
186,"BLUMENAU SECRETARIA MUNICIPAL DE TRABALHO, RENDA E DESENVOLVIMENTO ECONOMICO",02651699,BLUMENAU,True,no_matched_active_bid
165,BLUMENAU SECRET MUNICIPAL DA CRIANCA E DO ADOLESCENTE,81154833,BLUMENAU,True,no_matched_active_bid
173,BLUMENAU SECRET MUNICIPAL DE OBRAS E SERVICOS URBANOS,83108373,BLUMENAU,True,no_matched_active_bid
192,COMPANHIA DE URBANIZACAO DE BLUMENAU - URB EM LIQUIDACAO,82669037,BLUMENAU,True,no_matched_active_bid
190,FARMACIA POPULAR DO BRASIL,07872593,BLUMENAU,True,no_matched_active_bid
181,FUNDACAO CULTURAL DE BLUMENAU,83799551,BLUMENAU,True,no_matched_active_bid
189,FUNDACAO DO BEM-ESTAR DA FAMILIA BLUMENAUENSE,07447177,BLUMENAU,True,no_matched_active_bid
163,FUNDACAO MUNICIPAL DE DESPORTOS,79375481,BLUMENAU,True,no_matched_active_bid
164,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,81154783,BLUMENAU,True,no_matched_active_bid
169,FUNDACAO PROMOTORA DE EXPOSICOES DE BLUMENAU,82665001,BLUMENAU,True,no_matched_active_bid
158,INSTITUTO DE PESQ E PLANEJAM URBANO DE BLUMENAU,73443954,BLUMENAU,True,no_matched_active_bid
188,INSTITUTO MUNICIPAL DE SEGURIDADE SOCIAL DO SERVIDOR DE BLUM,04515660,BLUMENAU,True,no_matched_active_bid
191,SECRETARIA MUNICIPAL DE EDUCACAO DE BLUMENAU SC,30969129,BLUMENAU,True,no_matched_active_bid
178,SERVICO AUTONOMO MUNICIPAL DE TRANSITO E TRANSPORTES DE BLUMENAU,83637595,BLUMENAU,True,no_matched_active_bid
405,CAMARA MUNICIPAL DE BOCAINA DO SUL/SC,01624194,BOCAINA DO SUL,True,no_matched_active_bid
404,MUNICIPIO DE BOCAINA DO SUL,01606852,BOCAINA DO SUL,True,no_matched_active_bid
406,SECRETARIA EDUCACAO - BOCAINA DO SUL,31170290,BOCAINA DO SUL,True,no_matched_active_bid
59,CAMARA MUNICIPAL DE BOMBINHAS,95815304,BOMBINHAS,True,no_matched_active_bid
62,FUNDACAO MUNICIPAL DE CULTURA DE BOMBINHAS,09362501,BOMBINHAS,True,no_matched_active_bid
61,FUNDACAO MUNICIPAL DE ESPORTES DE BOMBINHAS,05655623,BOMBINHAS,True,no_matched_active_bid
60,MUNICIPIO DE BOMBINHAS,95815379,BOMBINHAS,True,no_matched_active_bid
380,FUNDACAO CULTURAL DE BOM JARDIM DA SERRA,07619983,BOM JARDIM DA SERRA,True,no_matched_active_bid
377,FUNDACAO HOSPITALAR DO MUNICIPIO DE BOM JARDIM DA SERRA,80168446,BOM JARDIM DA SERRA,True,no_matched_active_bid
379,HOSPITAL MUNICIPAL DE BOM JARDIM DA SERRA,03911028,BOM JARDIM DA SERRA,True,no_matched_active_bid
381,SECRETARIA DE EDUCACAO BOM JARDIM DA SERRA SC,31032171,BOM JARDIM DA SERRA,True,no_matched_active_bid
1333,BOM JESUS PREVI,02879655,BOM JESUS,False,no_matched_active_bid
1334,CAMARA MUNICIPAL DE VEREADORES DE BOM JESUS,07779870,BOM JESUS,False,no_matched_active_bid
1332,MUNICIPIO DE BOM JESUS,01551148,BOM JESUS,False,no_matched_active_bid
1331,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, ESPORTES E LAZER",60004129,BOM JESUS,False,no_matched_active_bid
1416,MUNICIPIO DE BOM JESUS DO OESTE,01594009,BOM JESUS DO OESTE,False,no_matched_active_bid
1418,SECRETARIA MUNICIPAL DE EDUCACAO CULTURA E ESPORTES DE BOM JESUS DO OESTE SC,30606430,BOM JESUS DO OESTE,False,no_matched_active_bid
207,CAMARA MUNICIPAL DE VEREADORES DE BOM RETIRO,01794690,BOM RETIRO,True,no_matched_active_bid
208,FUNDACAO CULTURAL DE BOM RETIRO - FCBR,24341403,BOM RETIRO,True,no_matched_active_bid
1946,CAMARA MUNICIPAL DE VEREADORES DE BOTUVERA,12935074,BOTUVERA,False,no_matched_active_bid
1960,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC DO MUNICPIO DE BOTUVERA,14950725,BOTUVERA,False,no_matched_active_bid
2034,SECRETARIA DE EDUCACAO DE BOTUVERA SC,30687259,BOTUVERA,False,no_matched_active_bid
1661,CAMARA MUNICIPAL DE BRACO DO NORTE,83457259,BRACO DO NORTE,False,no_matched_active_bid
1874,CONSORCIO INTERMUNICIPAL DE ABRIGO PARA CRIANCA E ADOLECENTE - CIACA,06081945,BRACO DO NORTE,False,no_matched_active_bid
2060,DEPARTAMENTO DE EDUCACAO DE BRACO DO NORTE SC,31002209,BRACO DO NORTE,False,no_matched_active_bid
1963,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE BRACO DO NORTE,15199388,BRACO DO NORTE,False,no_matched_active_bid
1613,MUNICIPIO DE BRACO DO NORTE,82926551,BRACO DO NORTE,False,no_matched_active_bid
1703,CAMARA MUNICIPAL DE VEREADORES,95952255,BRACO DO TROMBUDO,False,no_matched_active_bid
1964,COORDENADORIA MUNICIPAL DE DEFESA CIVIL (COMDEC) DE BRACO DO TROMBUDO,15268603,BRACO DO TROMBUDO,False,no_matched_active_bid
1531,SECRETARIA MUNICIPAL DE EDUCACAO DE BRACO DO TROMBUDO,66118584,BRACO DO TROMBUDO,False,no_matched_active_bid
1758,CAMARA MUNICIPAL DE VEREADORES DE BRUNOPOLIS,01635079,BRUNOPOLIS,False,no_matched_active_bid
2018,"SECRETARIA MUNICIPAL DE EDUCACAO, CULTURA, DESPORTO E TURISMO.",30069008,BRUNOPOLIS,False,no_matched_active_bid
89,BRUSQUE TRANSITO E TRANSPORTES - B-TRANS,05623609,BRUSQUE,True,no_matched_active_bid
85,COMISSAO CENTRAL ORGANIZADORA 40 JASC,03594895,BRUSQUE,True,no_matched_active_bid
94,COMPANHIA DE DESENVOLVIMENTO E URBANIZACAO DE BRUSQUE,75294264,BRUSQUE,True,no_matched_active_bid
86,FUNDACAO CULTURAL DE BRUSQUE,04894677,BRUSQUE,True,no_matched_active_bid
83,FUNDACAO EDUCACIONAL DE BRUSQUE - FEBE,83128769,BRUSQUE,True,no_matched_active_bid
91,FUNDACAO MUNICIPAL DE ESPORTES DE BRUSQUE,11241660,BRUSQUE,True,no_matched_active_bid
79,FUNDACAO MUNICIPAL DE TURISMO - FUMTUR,58854069,BRUSQUE,True,no_matched_active_bid
88,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,05085153,BRUSQUE,True,no_matched_active_bid
90,INSTITUTO BRUSQUENSE DE PLANEJAMENTO - IBPLAN,11188383,BRUSQUE,True,no_matched_active_bid
92,INSTITUTO BRUSQUENSE DE PREVIDENCIA - IBPREV,14634385,BRUSQUE,True,no_matched_active_bid
87,PREVIBRUSQUE,05084987,BRUSQUE,True,no_matched_active_bid
93,SECRETARIA DE EDUCACAO,30773430,BRUSQUE,True,no_matched_active_bid
1944,CONSORCIO DE TURISMO NOS TRILHOS DO CONTESTADO - CONTRILHOS,12127493,CACADOR,False,no_matched_active_bid
2025,COORDENADORIA MUNICIPAL DE DEFESA DO CONSUMIDOR - PROCON,30508509,CACADOR,False,no_matched_active_bid
1894,FUNDACAO CULTURAL DE CACADOR,07480083,CACADOR,False,no_matched_active_bid
1852,FUNDACAO MUNICIPAL DE ESPORTES DE CACADOR - FMEC,05137218,CACADOR,False,no_matched_active_bid
1766,FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CACADOR,01717087,CACADOR,False,no_matched_active_bid
1826,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS MUNICIPAIS DE CACADOR - IPASC,04272905,CACADOR,False,no_matched_active_bid
1940,IPPUC - INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE CAADOR,11514935,CACADOR,False,no_matched_active_bid
