entity_id,razao_social,cnpj_8,municipio,gap_reason
1873,SECRETARIA MUNICIPAL DE EDUCACAO DO MUNICIPIO DE PICARRAS/SC,06080954,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1762,CAMARA DE VEREADORES,01647273,BALNEARIO GAIVOTA,no_contract_for_org_cnpj_prefix
1943,SAMAE - SERVICO AUT MUNICIPAL DE AGUA E ESGOTO DE BALNEARIO GAIVOTA,12010094,BALNEARIO GAIVOTA,no_contract_for_org_cnpj_prefix
1869,SECRETARIA DE EDUCACAO E CULTURA,06075177,BALNEARIO GAIVOTA,no_contract_for_org_cnpj_prefix
2078,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO GAIVOTA,34365719,BALNEARIO GAIVOTA,no_contract_for_org_cnpj_prefix
1977,CAMARA MUNICIPAL DE BALNEARIO RINCAO,17365235,BALNEARIO RINCAO,no_contract_for_org_cnpj_prefix
2010,COORDENADORIA MUNICIPAL DE PROTECAO E DEFESA CIVIL (COMPDEC),26495339,BALNEARIO RINCAO,no_contract_for_org_cnpj_prefix
2070,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO RINCAO,31174131,BALNEARIO RINCAO,no_contract_for_org_cnpj_prefix
1980,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO (SAMAE),17509587,BALNEARIO RINCAO,no_contract_for_org_cnpj_prefix
1472,CAMARA MUNICIPAL DE VEREADORES DE BANDEIRANTE,07617161,BANDEIRANTE,no_contract_for_org_cnpj_prefix
1470,SECRETARIA MUNICIPAL DE EDUCACAO BANDEIRANTE SC,61811718,BANDEIRANTE,no_contract_for_org_cnpj_prefix
1457,CAMARA MUNICIPAL DE VEREADORES DE BARRA BONITA,09301902,BARRA BONITA,no_contract_for_org_cnpj_prefix
1455,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA, ESPORTE E TURISMO DE BARRA BONITA/SC - FUNDEB",63807108,BARRA BONITA,no_contract_for_org_cnpj_prefix
241,FUNDACAO HOSPITALAR MUNICIPAL DE BARRA VELHA,06025201,BARRA VELHA,no_contract_for_org_cnpj_prefix
244,FUNDACAO MUNICIPAL DA CULTURA DE BARRA VELHA,11731032,BARRA VELHA,no_contract_for_org_cnpj_prefix
240,FUNDACAO MUNICIPAL DE ESPORTES,04613328,BARRA VELHA,no_contract_for_org_cnpj_prefix
242,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE BARRA VELHA,06894325,BARRA VELHA,no_contract_for_org_cnpj_prefix
243,"FUNDACAO MUNICIPAL TURISMO, ESPORTES E CULTURA - FUMTEC",07633040,BARRA VELHA,no_contract_for_org_cnpj_prefix
239,IPREVE INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BARRA VELHA.,03937163,BARRA VELHA,no_contract_for_org_cnpj_prefix
245,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE BARRA VELHA - SEMEC",30863569,BARRA VELHA,no_contract_for_org_cnpj_prefix
1152,APP DA ESCOLA ISOLADA DE PINHALZINHO,03306109,BELA VISTA DO TOLDO,no_contract_for_org_cnpj_prefix
1151,CAMARA DE VEREADORES DE BELA VISTA DO TOLDO,02317211,BELA VISTA DO TOLDO,no_contract_for_org_cnpj_prefix
1153,SECRETARIA MUNICIPAL DE EDUCACAO DE BELA VISTA DO TOLDO,30637526,BELA VISTA DO TOLDO,no_contract_for_org_cnpj_prefix
1462,CAMARA MUNICIPAL DE VEREADORES DE BELMONTE,04222993,BELMONTE,no_contract_for_org_cnpj_prefix
1463,FUNDO MUNICIPAL DE EDUCACAO DE BELMONTE,30886504,BELMONTE,no_contract_for_org_cnpj_prefix
1460,SECRETARIA MUNICIPAL DE EDUCACAO DE BELMONTE,60366687,BELMONTE,no_contract_for_org_cnpj_prefix
316,BENEDITO NOVO CAMARA DE VEREADORES,83497586,BENEDITO NOVO,no_contract_for_org_cnpj_prefix
314,SECRETARIA DE EDUCACAO E CULTURA DE BENEDITO NOVO,63760835,BENEDITO NOVO,no_contract_for_org_cnpj_prefix
1536,BIGUACU CAMARA DE VEREADORES,73564064,BIGUACU,no_contract_for_org_cnpj_prefix
1844,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BIGUACU,04902325,BIGUACU,no_contract_for_org_cnpj_prefix
1523,SECRETARIA MUNICIPAL DE EDUCACAO,63450307,BIGUACU,no_contract_for_org_cnpj_prefix
182,BLUMENAU CONSELHO MUNICIPAL DE ENTORPECENTES,01768916,BLUMENAU,no_contract_for_org_cnpj_prefix
166,BLUMENAU INTENDENCIA DE VILA ITOUPAVA,81154858,BLUMENAU,no_contract_for_org_cnpj_prefix
161,BLUMENAU PREFEITURA,79372488,BLUMENAU,no_contract_for_org_cnpj_prefix
170,BLUMENAU PREFEITURA,83102236,BLUMENAU,no_contract_for_org_cnpj_prefix
159,BLUMENAU PROCURADORIA GERAL DO MUNICIPIO,79372462,BLUMENAU,no_contract_for_org_cnpj_prefix
162,BLUMENAU SECRETARIA DO MEIO AMBIENTE E DEFESA CIVIL,79372496,BLUMENAU,no_contract_for_org_cnpj_prefix
174,BLUMENAU SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL,83108381,BLUMENAU,no_contract_for_org_cnpj_prefix
183,BLUMENAU SECRETARIA MUNICIPAL DE CAPTACAO DE RECURSOS,02651364,BLUMENAU,no_contract_for_org_cnpj_prefix
185,BLUMENAU SECRETARIA MUNICIPAL DE CAPTACAO DE RECURSOS,02651698,BLUMENAU,no_contract_for_org_cnpj_prefix
167,BLUMENAU SECRETARIA MUNICIPAL DE COMUNICACAO SOCIAL,81154874,BLUMENAU,no_contract_for_org_cnpj_prefix
180,BLUMENAU SECRETARIA MUNICIPAL DE CULTURA E TURISMO,83799320,BLUMENAU,no_contract_for_org_cnpj_prefix
175,BLUMENAU SECRETARIA MUNICIPAL DE EDUCACAO,83108399,BLUMENAU,no_contract_for_org_cnpj_prefix
172,BLUMENAU SECRETARIA MUNICIPAL DE FINANCAS,83108365,BLUMENAU,no_contract_for_org_cnpj_prefix
160,BLUMENAU SECRETARIA MUNICIPAL DE PLANEJAMENTO,79372470,BLUMENAU,no_contract_for_org_cnpj_prefix
176,BLUMENAU SECRETARIA MUNICIPAL DE SAUDE,83108407,BLUMENAU,no_contract_for_org_cnpj_prefix
184,"BLUMENAU SECRETARIA MUNICIPAL DE TRABALHO, RENDA E DESENVOLVIMENTO ECONOMICO",02651367,BLUMENAU,no_contract_for_org_cnpj_prefix
186,"BLUMENAU SECRETARIA MUNICIPAL DE TRABALHO, RENDA E DESENVOLVIMENTO ECONOMICO",02651699,BLUMENAU,no_contract_for_org_cnpj_prefix
165,BLUMENAU SECRET MUNICIPAL DA CRIANCA E DO ADOLESCENTE,81154833,BLUMENAU,no_contract_for_org_cnpj_prefix
173,BLUMENAU SECRET MUNICIPAL DE OBRAS E SERVICOS URBANOS,83108373,BLUMENAU,no_contract_for_org_cnpj_prefix
177,CAMARA MUNICIPAL DE BLUMENAU,83184226,BLUMENAU,no_contract_for_org_cnpj_prefix
192,COMPANHIA DE URBANIZACAO DE BLUMENAU - URB EM LIQUIDACAO,82669037,BLUMENAU,no_contract_for_org_cnpj_prefix
187,CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE E SERVICOS DO VALE EUROPEU  CISAMVE,03269695,BLUMENAU,no_contract_for_org_cnpj_prefix
190,FARMACIA POPULAR DO BRASIL,07872593,BLUMENAU,no_contract_for_org_cnpj_prefix
181,FUNDACAO CULTURAL DE BLUMENAU,83799551,BLUMENAU,no_contract_for_org_cnpj_prefix
189,FUNDACAO DO BEM-ESTAR DA FAMILIA BLUMENAUENSE,07447177,BLUMENAU,no_contract_for_org_cnpj_prefix
163,FUNDACAO MUNICIPAL DE DESPORTOS,79375481,BLUMENAU,no_contract_for_org_cnpj_prefix
164,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,81154783,BLUMENAU,no_contract_for_org_cnpj_prefix
