source_id,objeto,orgao_cnpj,orgao_nome,uf,municipio,data_encerramento,link_oficial,ranking,ranking_score,ranking_confianca,motivo,fatores_positivos
sc-58891,"Contratação  de  Luiz  César  Marinho  Cruz,  docente  credenciado  nos  termos  do Decreto  nº  3.148,  de  2010  e  suas  alterações  para  ministrar  o  módulo  2  -  O  papel  do profissional  de ",,Fundação Escola de Governo - ENA,SC,,,https://compras.sc.gov.br/editais/58891,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59351,"Contratação de serviços de melhoramento fluvial no Município de Rio do Sul – SC, abrangendo aproximadamente 8,578 km no Rio Itajaí-açu na Área Central do Município para a Secretaria de Estado da Prote",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/59351,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59130,Contratação de serviço de locação de empilhadeira.,,Corpo de Bombeiros Militar - CBM/SC - Fundo de Melhoria,SC,,,https://compras.sc.gov.br/editais/59130,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59136,"Contratação   de   Fabíola   Santos   Bittencourt   Moreira   de   Proença,   docente credenciado  nos  termos  do  Decreto  nº  3.148,  de  2010  e  suas  alterações,  para  ministrar aulas no Curso ",,Fundação Escola de Governo - ENA,SC,,,https://compras.sc.gov.br/editais/59136,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59495,"Contratação de Serviços Especializados de Tecnologia da Informação   e  Comunicação  Serviço   de   Área   de   Trabalho   Digital   Baseada  em  Google Workspace, de acordo com as especificações e co",,Secretaria Executiva de Articulação Nacional - SAI,SC,,,https://compras.sc.gov.br/editais/59495,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59270,"Contratação de serviços de reabilitação  (fonoaudiologia, fisioterapia, terapia ocupacional) para atendimento de demandas judiciais da Secretaria de Estado da Saúde",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/59270,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59241,"Aquisição de 2 (duas) moto bombas, tipo: centrífuga, motor: trifásico e serviço de instalação das mesmas, destinado ao Presídio Masculino de Lages.",,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/59241,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58514,Fornecimento e a instalação de persianas rolo para 02 setores da sede do DETRAN e para o Ponto de Atendimento de Biguaçu.,,Departamento Estadual de Trânsito - DETRAN/SC,SC,,,https://compras.sc.gov.br/editais/58514,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58626,"Registro de preços para futura e eventual aquisição de materiais de expediente, para atender às necessidades da Defensoria Pública do Estado de Santa Catarina (DPESC), conforme especificações, quantit",,Defensoria Pública do Estado de Santa Catarina - DPE,SC,,,https://compras.sc.gov.br/editais/58626,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59301,Dispensa de licitação para a contratação de empresa especializada para prestação de serviço de retirada da plotagem existente e aplicação de nova plotagem no veículo oficial da Defensoria Pública do E,,Defensoria Pública do Estado de Santa Catarina - DPE,SC,,,https://compras.sc.gov.br/editais/59301,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59349,Aquisição de 02 paleteiras hidráulicas e 02 carrinhos de plataforma.,,Departamento Estadual de Trânsito - DETRAN/SC,SC,,,https://compras.sc.gov.br/editais/59349,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59695,Limpeza e higienização de reservatórios de água na Penitenciária de São Bento do Sul.,,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/59695,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59446,"Aquisição  de  veículos automotores  novos,  com  troca  (alienação  simultânea)  de  parte  da  frota  da  Epagri.",,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI,SC,,,https://compras.sc.gov.br/editais/59446,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59835,"Pagamento de pró-labore à artista Leticia Klober para ministrar duas oficinas, sendo uma infantil, a ser realizada no dia 27 de maio de 2026, das 09h às 10h30, na sala I-009, e outra destinada ao públ",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/59835,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59420,"Contratação de empresa especializada para fornecimento e instalação de Elevador de Acessibilidade Comercial, conforme ABNT NBR ISO 9386-1, ABNT NM 313 e PNE NBR 12892.",,Fundação Catarinense de Esporte - FCE,SC,,,https://compras.sc.gov.br/editais/59420,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59493,Aquisição de cadeira com especificações e recomendação médica para proporcionar condições de trabalho adequadas ao servidor Marco Aurélio Maia Liberato.,,Instituto do Meio Ambiente - IMA,SC,,,https://compras.sc.gov.br/editais/59493,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59397,"Aquisição de rações para peixes, sal triturado e materiais para manutenção de bens imóveis para execução das atividades de pesquisa em aquicultura continental da Epagri/Cedap, conforme quantitativos e",,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI,SC,,,https://compras.sc.gov.br/editais/59397,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59803,"aquisição de 06 unidades de motobombas de água de diversos CV,  para  utilização  no Presídio Regional de  Chapecó-SC  e  setor  agrícola,  subordinado  à  Superintendência  Regional  Oeste  (SR06)",,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/59803,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59518,"Contratação de Rodrigo Lahoz  para ministrar o curso Lei nº 13.303/2016 (Lei das Estatais), com carga horária de 16 horas aulas, no período de 19 à 22/05/2026",,Fundação Escola de Governo - ENA,SC,,,https://compras.sc.gov.br/editais/59518,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59142,"Aquisição de medicamento, por Dispensa de Licitação, para atendimento da demanda da Gerência de Bens Regulares (GEBER) e Gerência de Bens Judiciais (GEJUD) da Secretaria de Estado da Saúde de Santa Ca",,Secretaria de Estado da Saúde - SES,SC,,,https://compras.sc.gov.br/editais/59142,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59773,"Aquisição de itens de saúde, compreendendo materiais de consumo e equipamentos básicos destinados à aferição de parâmetros de saúde, tais como glicemia, pressão arterial, temperatura corporal e satura",,"Secretaria de Estado da Assistência Social, Mulher e Família",SC,,,https://compras.sc.gov.br/editais/59773,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59047,"Contratação de serviço de  internação/acolhimento, com atendimento por equipe multidisciplinar capaz de abordar questões de saúde mental, no território do Estado de Santa Catarina, pelo período de 365",,Secretaria de Estado da Saúde - SES,SC,,,https://compras.sc.gov.br/editais/59047,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59932,"Registro de preços para futura e eventual Aquisição de Órteses, Próteses e Materiais Especiais (OPME), por Dispensa de Licitação, para atendimento da demanda das Unidades Hospitalares da Secretaria de",,Secretaria de Estado da Saúde - SES,SC,,,https://compras.sc.gov.br/editais/59932,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59254,"Inexigibilidade de licitação para 2 (duas) inscrições no evento “15ª edição do Redes  WeGov”, a ser realizado nos dias 28 e 29 de abril de 2026, na cidade de Florianópolis/SC.",,Defensoria Pública do Estado de Santa Catarina - DPE,SC,,,https://compras.sc.gov.br/editais/59254,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59298,"Chamamento público para prospecção de LOCAÇÃO DE IMÓVEL, na cidade de Lages/SC, para atender às necessidades públicas referente a prestação de serviços periciais aos servidores públicos do Estado.",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/59298,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59243,Aquisição de 02 (duas) unidades de esterilizadores de 3 bules em banho-maria e 01 (uma) unidade de cafeteira elétrica industrial com capacidade de 4 litros.,,Secretaria de Estado da Casa Civil - CC,SC,,,https://compras.sc.gov.br/editais/59243,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58643,"Aquisição de materiais de construção, descrição dos itens conforme termo de referência.",,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/58643,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58794,"Aquisição de  Materiais de enfermaria e Cirurgia/higiene   e   limpeza,  por Dispensa de Licitação, para atendimento da demanda da Gerênciade Bens Regulares – GEBER.",,Secretaria de Estado da Saúde - SES,SC,,,https://compras.sc.gov.br/editais/58794,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59448,"Contratação de serviço de acolhimento/internação em residencial terapêutico, noterritório de Santa Catarina, em atendimento aos autos nº 5007176-47.2025.8.24.0026/SC, em favor do  paciente N.F.B. (D/N",,Secretaria de Estado da Saúde - SES,SC,,,https://compras.sc.gov.br/editais/59448,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59517,Contratação de serviço de manutenção preventiva e corretiva para estação de recarga rápida do Núcleo de Processamento de Energia Elétrica -nPEE da UDESC Joinville/SC,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/59517,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59514,"Dispensa de licitação para contratação de empresa especializada para a instalação, fornecimento, configuração, testes, comissionamento e garantia de sistema de iluminação cênica em tecnologia LED, com",,Defensoria Pública do Estado de Santa Catarina - DPE,SC,,,https://compras.sc.gov.br/editais/59514,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59354,Registro de Preços para aquisição de Bobinas de Papel Térmico para Impressoras Portáteis compatível com a impressora Leopardo Mobile para a Polícia Militar de Santa Catarina.,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/59354,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59582,"Contratação de empresa para prestar serviços em manutenção predial, corretiva e preventiva, em sistemas/estruturas elétricos, com fornecimento das peças de reposição para Epagri - Tubarão/SC, conforme",,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI,SC,,,https://compras.sc.gov.br/editais/59582,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59409,"Contratação de concessionária autorizada para realização de revisão preventiva, em razão da garantia de fábrica, em 1 (uma) viatura da frota da Polícia Civil de Santa Catarina",,Polícia Civil - PC,SC,,,https://compras.sc.gov.br/editais/59409,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59001,"EXCLUSIVO ME/EPP Aquisição de gêneros alimentícios, materiais de copa/cozinha, utensílios e carvão para Epagri - Centro de Educação Profissional Agrotécnico – CEDUP Vidal Ramos e  Centro de Treinament",,Empresa de Pesquisa Agropecuária e Extensão Rural de Santa Catarina - EPAGRI,SC,,,https://compras.sc.gov.br/editais/59001,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59220,Contratação  de  Thiago  Gularte  Cardoso  para  ministrar  o  Módulo  2  (O  Papel  do profissional  de  Segurança  Pública  na  Equipe  Interdisciplinar)  Curso    Fundamentos  da Atuação em Equipe ,,Fundação Escola de Governo - ENA,SC,,,https://compras.sc.gov.br/editais/59220,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59096,Locação de Software de gerenciamento de ativos remoto para uso em gateways IoT x510 da Lenze.  Deve  funcionar  no  modo  Cloud  Logging  (Registro  de  dados  em  nuvem)  com capacidade de processame,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/59096,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58658,"Aquisição  de  fechaduras  e  cadeados  para  a  utilização  pelos  setores  da  Secretaria  de  Estado  da Infraestrutura e Mobilidade (SEDE), para garantir a segurança e manutenção do ambiente da SI",,Secretaria de Estado da Infraestrutura e Mobilidade - SIE,SC,,,https://compras.sc.gov.br/editais/58658,NO_GO,0,HIGH,Sem identificação do órgão,
