ibge_code,cnpj,name,canonical_name,entity_type,municipio,uf,lat,lon,distance_km,zone,sources
4202909,83102343,MUNICIPIO DE BRUSQUE,MUNICIPIO DE BRUSQUE,prefeitura,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,83128769,FUNDACAO EDUCACIONAL DE BRUSQUE - FEBE,FUNDACAO EDUCACIONAL DE BRUSQUE - FEBE,fundacao_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,83602151,CAMARA MUNICIPAL DE BRUSQUE,CAMARA MUNICIPAL DE BRUSQUE,camara_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,03594895,COMISSAO CENTRAL ORGANIZADORA 40 JASC,COMISSAO CENTRAL ORGANIZADORA 40 JASC,autarquia_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,04894677,FUNDACAO CULTURAL DE BRUSQUE,FUNDACAO CULTURAL DE BRUSQUE,fundacao_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,05084987,PREVIBRUSQUE,PREVIBRUSQUE,secretaria_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,05085153,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,FUNDACAO MUNICIPAL DO MEIO AMBIENTE,fundacao_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,05623609,BRUSQUE TRANSITO E TRANSPORTES - B-TRANS,BRUSQUE TRANSITO E TRANSPORTES - B-TRANS,autarquia_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,11188383,INSTITUTO BRUSQUENSE DE PLANEJAMENTO - IBPLAN,INSTITUTO BRUSQUENSE DE PLANEJAMENTO - IBPLAN,autarquia_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,11241660,FUNDACAO MUNICIPAL DE ESPORTES DE BRUSQUE,FUNDACAO MUNICIPAL DE ESPORTES DE BRUSQUE,fundacao_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,14634385,INSTITUTO BRUSQUENSE DE PREVIDENCIA - IBPREV,INSTITUTO BRUSQUENSE DE PREVIDENCIA - IBPREV,autarquia_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,30773430,SECRETARIA DE EDUCACAO,SECRETARIA DE EDUCACAO,secretaria_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
